model,run,#epochs,metric,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10
14,1,10,loss,0.45029514242172242,0.31714695515632629,0.27206074480056763,0.24135293231964111,0.20494538512706756,0.18338020955085754,0.16617470702171325,0.15132885716438293,0.13408599965095519,0.12081039244174957
14,1,10,acc,0.79536000009536745,0.87784000007629392,0.90128000007629394,0.91488000009536741,0.92927999998092647,0.93935999999999997,0.94592000005722043,0.95267999999999997,0.96060000005722046,0.96611999998092646
14,1,10,val_loss,0.60318670994758605,0.40271131013870237,0.36242867063522338,0.32090531266212463,0.31601061986923218,0.32643388623237612,0.32165824052810671,0.38002188381195068,0.44065388380050657,0.36576129533767698
14,1,10,val_acc,0.59427999992370606,0.83044000007629393,0.84152000001907346,0.87288000005722044,0.88872000009536745,0.88543999998092648,0.88740000001907349,0.87048000000000003,0.86472000011444095,0.88336000001907344
