model,run,#epochs,metric,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10
16,1,10,loss,0.49758303153991701,0.3248032987499237,0.26289206777095797,0.2334337277317047,0.21344899278163909,0.19591271566867829,0.1870918326997757,0.1795185978269577,0.15387634238481521,0.14167407553672789
16,1,10,acc,0.77024000000000004,0.87724000000000002,0.90359999999999996,0.91720000000000002,0.92435999999999996,0.93491999999999997,0.93764000000000003,0.94276000000000004,0.95404,0.95855999999999997
16,1,10,val_loss,0.43821857358932498,0.31566612191200255,0.3041077907848358,0.28523690514564515,0.32536645594596864,0.34035219195842742,0.32472133796215058,0.34149527354240417,0.3424385731983185,0.36328352462768554
16,1,10,val_acc,0.82487999999999995,0.87307999999999997,0.88392000000000004,0.89339999999999997,0.87983999999999996,0.87675999999999998,0.88360000000000005,0.87648000000000004,0.88431999999999999,0.88460000000000005
16,2,1,loss,0.42821283139705657
16,2,1,acc,0.80671999999999999
16,2,1,val_loss,0.3159408032608032
16,2,1,val_acc,0.87863999999999998
16,3,10,loss,0.42698049184799192,0.29349088316917421,0.24878885813713073,0.21041025357723236,0.1920980043077469,0.17426141381978988,0.15713581947565078,0.14371965600490569,0.12674688531398773,0.12302179052114487
16,3,10,acc,0.80944000000000005,0.89088000000000001,0.91168000000000005,0.92635999999999996,0.93564000000000003,0.94447999999999999,0.95196000000000003,0.95767999999999998,0.96411999999999998,0.96575999999999995
16,3,10,val_loss,0.34726645465850831,0.31722811820983887,0.31780951459884643,0.31780338828086852,0.31593183506965639,0.33831453396797179,0.35672970154762268,0.35521229752063749,0.36989514516830446,0.43158963485717772
16,3,10,val_acc,0.86563999999999997,0.88456000000000001,0.88827999999999996,0.87792000000000003,0.88748000000000005,0.88275999999999999,0.87807999999999997,0.88375999999999999,0.88131999999999999,0.87668000000000001
