model,run,#epochs,metric,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10
26,1,10,loss,0.43582300246238709,0.2847319293785095,0.25495183786869047,0.23260041255950928,0.21551739741802214,0.20389140030384065,0.18632250351905824,0.1790470643377304,0.16970840738296508,0.15585822530031204
26,1,10,acc,0.78259999999999996,0.89307999999999998,0.90612000000000004,0.91652,0.9254,0.93035999999999996,0.93867999999999996,0.94232000000000005,0.94508000000000003,0.95287999999999995
26,1,10,val_loss,0.2937815915584564,0.3128323484611511,0.3021134459877014,0.30768210977554322,0.45319356266021726,0.32623600452423096,0.31932427030563354,0.30791672565460204,0.3645603747653961,0.47363937484741209
26,1,10,val_acc,0.88792000000000004,0.88107999999999997,0.87948000000000004,0.88415999999999995,0.83220000000000005,0.87448000000000004,0.88595999999999997,0.88571999999999995,0.86248000000000002,0.83575999999999995
26,2,1,loss,0.41955872431755065
26,2,1,acc,0.80556000000000005
26,2,1,val_loss,0.3803905988121033
26,2,1,val_acc,0.84104000000000001
26,3,1,loss,0.44625674228668211
26,3,1,acc,0.78291999999999995
26,3,1,val_loss,0.39551602087974547
26,3,1,val_acc,0.84123999999999999
26,4,1,loss,0.50598665497779849
26,4,1,acc,0.73872000000000004
26,4,1,val_loss,0.42340506803512573
26,4,1,val_acc,0.81388000000000005
26,5,1,loss,0.43596036733627319
26,5,1,acc,0.79008
26,5,1,val_loss,0.43121054315567015
26,5,1,val_acc,0.82416
