model,run,#epochs,metric,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10
8,1,10,loss,0.39909518651008608,0.23926263640403747,0.18750200643539428,0.13467655168294906,0.099207680511474605,0.066561886968612677,0.056953276250958446,0.038709129503071309,0.023243774816095828,0.023095519588142634
8,1,10,acc,0.81692000007629395,0.90736000009536744,0.92920000001907344,0.95111999998092656,0.96524000001907351,0.97784000001907345,0.98059999994277958,0.98739999998092653,0.99239999999999995,0.99336000000000002
8,1,10,val_loss,0.47897477500915525,0.31667167439460753,0.28218713047027588,0.32169692495346069,0.33241636661529539,0.49549180286407468,0.46627901434898378,0.53480410842895509,0.59974401960372925,0.55410263353347777
8,1,10,val_acc,0.77784000007629395,0.87100000001907352,0.89220000001907351,0.88248000009536742,0.88780000005722048,0.86031999998092656,0.87588000009536748,0.87296000009536745,0.87856000009536739,0.86676000005722043
