model,run,#epochs,metric,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10
42,1,10,loss,0.67144952524185175,0.53589713784217829,0.46711814277648928,0.42302918218612673,0.39001547022819522,0.3632575071620941,0.34020708516597747,0.31929288837909697,0.300161589217186,0.28211510448932647
42,1,10,acc,0.55359999999999998,0.78159999999999996,0.81843999999999995,0.83872000000000002,0.85340000000000005,0.87036000000000002,0.88095999999999997,0.89159999999999995,0.90000000000000002,0.91083999999999998
42,1,10,val_loss,0.58681894573211668,0.50488603546142574,0.4714618935966492,0.45377731489181516,0.44877998593330382,0.45008840039253234,0.45227493615150449,0.46281678053855896,0.48056690904617311,0.47435704951286317
42,1,10,val_acc,0.74583999999999995,0.79152,0.80156000000000005,0.80796000000000001,0.80728,0.80579999999999996,0.80640000000000001,0.80291999999999997,0.79756000000000005,0.80012000000000005
42,2,10,loss,0.65331038486480708,0.46578447164535525,0.40424739445686342,0.37850965409278869,0.3522445113372803,0.33446081230163577,0.3181365304660797,0.31162060762405397,0.29475389036655425,0.28246430897474289
42,2,10,acc,0.58967999999999998,0.80567999999999995,0.84248000000000001,0.85704000000000002,0.87075999999999998,0.87787999999999999,0.88883999999999996,0.89192000000000005,0.89471999999999996,0.90268000000000004
42,2,10,val_loss,0.50108955682754519,0.40578653756141664,0.3801177932167053,0.37040158557891845,0.37725470358848573,0.36381031770706179,0.36162959607124329,0.363538541097641,0.36470544928550719,0.36779791917800903
42,2,10,val_acc,0.79532000000000003,0.84304000000000001,0.85431999999999997,0.86112,0.85111999999999999,0.85836000000000001,0.85940000000000005,0.85824,0.85651999999999995,0.85784000000000005
42,3,10,loss,0.55135920440673825,0.38751467344284057,0.34782901102066038,0.31960735856533051,0.29873306018829343,0.28150927318572999,0.26814046922683715,0.25852166058778764,0.24564555762767792,0.2353231196975708
42,3,10,acc,0.72008000000000005,0.85660000000000003,0.87775999999999998,0.89224000000000003,0.90247999999999995,0.91088000000000002,0.91703999999999997,0.92156000000000005,0.92600000000000005,0.93264000000000002
42,3,10,val_loss,0.41962129435539247,0.3820994489097595,0.37407619589805602,0.38188076913833618,0.40902553190231322,0.39225213325500491,0.42146179156303404,0.41153021865844724,0.41684211126327514,0.41495578913688658
42,3,10,val_acc,0.84064000000000005,0.85863999999999996,0.86424000000000001,0.85895999999999995,0.84611999999999998,0.86063999999999996,0.85019999999999996,0.85840000000000005,0.85972000000000004,0.85907999999999995
42,4,10,loss,0.47234321651458738,0.34323248282432556,0.28975833940505979,0.24052141425848006,0.20572979102134706,0.17596026082992552,0.15099158527374268,0.12903327269554138,0.11856523746967315,0.10808089149594306
42,4,10,acc,0.81811999999999996,0.88819999999999999,0.91208,0.93244000000000005,0.94632000000000005,0.95764000000000005,0.96572000000000002,0.97336,0.97640000000000005,0.97916000000000003
42,4,10,val_loss,0.45383505479812625,0.44989179745674135,0.39584615181922911,0.41782879180908206,0.45668232080459592,0.50222550651550291,0.58837139526367188,0.6521266988945007,0.73886799948692317,0.75967285653114314
42,4,10,val_acc,0.8256,0.83420000000000005,0.85911999999999999,0.85572000000000004,0.85592000000000001,0.85307999999999995,0.84028000000000003,0.84108000000000005,0.83391999999999999,0.82972000000000001
42,5,10,loss,0.470128778219223,0.34026029884338377,0.29276763798236849,0.24623544641971587,0.21153539051532746,0.17572508574008941,0.14502981628894807,0.13196410750389098,0.11123888496398926,0.10701339558959007
42,5,10,acc,0.81432000000000004,0.88727999999999996,0.90759999999999996,0.92927999999999999,0.94359999999999999,0.95596000000000003,0.96699999999999997,0.9718,0.97711999999999999,0.97851999999999995
42,5,10,val_loss,0.47319624780654906,0.41885233581542969,0.63314269464492801,0.44439790372848509,0.44738637992858887,0.49085050897598265,0.52446007179260257,0.56786931490898129,0.66794906693458556,0.6545911679363251
42,5,10,val_acc,0.81491999999999998,0.84331999999999996,0.78244000000000002,0.85243999999999998,0.8498,0.85496000000000005,0.85424,0.84179999999999999,0.84428000000000003,0.83855999999999997
